35,Panet: polarization-aware instance segmentation in autonomous driving,2025,0(Its 3 months old),Panet,Instance,,https://link.springer.com/article/10.1007/s00138-025-01694-9#Sec6,Google scholar,instance segmentation driving light,https://doi.org/10.1007/s00138-025-01694-9,Springer Nature,Machine Vision and Applications,,,,,
68,RNGDet++: Road Network Graph Detection by Transformer With Instance Segmentation and Multi-Scale Features Enhancement,2023,"17(IEEE), 36(GS)",RNGDet++,Instance,,https://ieeexplore.ieee.org/abstract/document/10093124?casa_token=f2rLHxbHFQgAAAAA:n09XU8kBMS3a5wfxomWhkI0I7mR2ASENB8ZNdDP7vcdTexLH0tA3KCE4WFKBGw4qQZFBPw9UWGPE,Google Scholar,transformer road segmentation,doi.org/10.1109/LRA.2023.3264723,IEEE,"IEEE Robotics and Automation Letters ( Volume: 8, Issue: 5, May 2023)",,,,,
,Video Object Segmentation Using Space-Time Memory Networks,2019,"959(GS), 514(IEEE)",STM,Instance,,Space-Time Memory Networks for Video Object Segmentation With User Guidance | IEEE Journals & Magazine | IEEE Xplore,Google Scholar,Semi supervised video object segmentation,10.1109/ICCV.2019.00932,IEEE,2019 IEEE/CVF International Conference on Computer Vision (ICCV),,,,,
88,Mask R-CNN,2017,,,instance,,,,,,,,,,,,
89,Improvement of Road Instance Segmentation Algorithm Based on the Modified Mask R-CNN,2023,,,instance,,,,,,,,,,,,
90,Road Scene Instance Segmentation Based on Improved SOLOv2,2023,,,instance,,,,,,,,,,,,
91,CenterPoly: real-time instance segmentation using bounding polygons,2021,,,instance,,,,,,,,,,,,
92,CompleteInst: An Efficient Instance Segmentation Network for Missed Detection Scene of Autonomous Driving,2023,,,instance,,,,,,,,,,,,
93,"Poly-YOLO: higher speed, more precise detection and instance segmentation for YOLOv3",2022,,,instance,,,,,,,,,,,,
94,PolyTransform: Deep Polygon Transformer for Instance Segmentation (2020),2020,,,instance,,,,,,,,,,,,
95,PanoNet: Real-time Panoptic Segmentation through Position-Sensitive Feature Embedding,2020,,,instance,,,,,,,,,,,,
96,Mask Transfiner for High-Quality Instance Segmentation,2022,,,instance,,,,,,,,,,,,
97,Deep Dual-Modal Traffic Objects Instance Segmentation Method Using Camera and LIDAR Data for Autonomous Driving,2020,,,instance,,,,,,,,,,,,
98,Fast Scene Understanding for Autonomous Driving,2017,,,instance,,,,,,,,,,,,
,Conditional Convolutions for Instance Segmentation,2020,,,instance,,,,,,,,,,,,
81,End-to-End Video Instance Segmentation with Transformers,2021,892(GS),VisTR,Instance / Panoptic,,[2011.14503] End-to-End Video Instance Segmentation with Transformers,Google Scholar,Semi supervised video object segmentation,https://doi.org/10.48550/arXiv.2011.14503,,,,,,,
12,Path Aggregation Network for Instance Segmentation,2018,"10107(GS), 5986(IEEE)",PANet,Instance Segmentation,,https://ieeexplore.ieee.org/document/8579011,IEEE Xplore,road segmentation,https://doi.org/10.1109/CVPR.2018.00913,IEEE/CVPR,2018 IEEE/CVF Conference on Computer Vision and Pattern Recognition,,,,,
,RVOS: End-To-End Recurrent Network for Video Object Segmentation,2019,"289(GS), 182(IEEE)",RVOS,Instance Segmentation,,RVOS: End-To-End Recurrent Network for Video Object Segmentation | IEEE Conference Publication | IEEE Xplore,Google Scholar,Semi supervised video object segmentation,10.1109/CVPR.2019.00542,IEEE,2019 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),,,,,
,Learning Video Object Segmentation from Static Images,2017,"663(GS), 398(IEEE)",MaskTrack,Instance Segmentation,,Learning Video Object Segmentation from Static Images | IEEE Conference Publication | IEEE Xplore,Google scholar,Semi supervised video object segmentation,10.1109/CVPR.2017.372,IEEE,2017 IEEE Conference on Computer Vision and Pattern Recognition (CVPR),,,,,
,XMem: Long-Term Video Object Segmentation with an Atkinson-Shi rin Memory Model,2022,"544(GS), 273( Springer)",XMem,Instance Segmentation,,XMem: Long-Term Video Object Segmentation with an Atkinson-Shiffrin Memory Model | SpringerLink,Google Scholar,Semi supervised video object segmentation,https://doi.org/10.1007/978-3-031-19815-1_37,Springer,European Conference on Computer Vision,,,,,
,Associating Objects with Transformers for Video Object Segmentation,2021,363(GS),AOT,Instance Segmentation,,[2106.02638] Associating Objects with Transformers for Video Object Segmentation,Google Scholar,Semi supervised video object segmentation,https://doi.org/10.48550/arXiv.2106.02638,,,,,,,
,"Modular Interactive Video Object Segmentation: Interaction-to-Mask, Propagation and Difference-Aware Fusion",2021,"275 (GS),175(IEEE)",MIVos,Instance Segmentation,,"Modular Interactive Video Object Segmentation: Interaction-to-Mask, Propagation and Difference-Aware Fusion | IEEE Conference Publication | IEEE Xplore",Google Scholar,Semi supervised video object segmentation,10.1109/CVPR46437.2021.00551,IEEE,2021 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),,,,,
